"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 21 01:16:55 BST 2021","Wed Jul 21 01:16:56 BST 2021","797","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Buy""","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Buy""","When I click hamburger icon in top nav bar","When I click hamburger icon in top nav bar",""
"passed","Wed Jul 21 01:12:27 BST 2021","Wed Jul 21 01:12:27 BST 2021","73","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Why Volvo""","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Why Volvo""","Then I validate main menu item ""Why Volvo"" in side nav bar","Then I validate main menu item ""Why Volvo"" in side nav bar",""
"passed","Wed Jul 21 01:09:39 BST 2021","Wed Jul 21 01:09:39 BST 2021","3","","Campaign carousel items: Validate carousel items displayed model name ""XC40 Recharge"" and recharge type ""pure electric""","","Campaign carousel items: Validate carousel items displayed model name ""XC40 Recharge"" and recharge type ""pure electric""","","",""
"passed","Wed Jul 21 01:20:09 BST 2021","Wed Jul 21 01:20:09 BST 2021","3","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""More""","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""More""","","",""
"passed","Wed Jul 21 01:14:19 BST 2021","Wed Jul 21 01:14:27 BST 2021","8149","","Campaign carousel items: Validate carousel items displayed model name ""XC90 Recharge"" and recharge type ""plug-in hybrid""","","Campaign carousel items: Validate carousel items displayed model name ""XC90 Recharge"" and recharge type ""plug-in hybrid""","Given I am on campaign page","Given I am on campaign page",""
"passed","Wed Jul 21 01:12:27 BST 2021","Wed Jul 21 01:12:28 BST 2021","625","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Why Volvo""","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Why Volvo""","When I click main menu item ""Why Volvo"" in side nav bar","When I click main menu item ""Why Volvo"" in side nav bar",""
"passed","Wed Jul 21 00:38:26 BST 2021","Wed Jul 21 00:38:26 BST 2021","210","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Buy""","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Buy""","Then I validate main menu item ""Buy"" in side nav bar","Then I validate main menu item ""Buy"" in side nav bar",""
"passed","Wed Jul 21 01:11:33 BST 2021","Wed Jul 21 01:12:06 BST 2021","33494","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Own""","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Own""","Then I validate sub menu items ""Support, Service & Repair, Accessories, Volvo Recall"" in side nav","Then I validate sub menu items ""Support, Service & Repair, Accessories, Volvo Recall"" in side nav",""
"passed","Wed Jul 21 01:11:24 BST 2021","Wed Jul 21 01:11:32 BST 2021","8012","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Own""","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Own""","Then I see side navigation bar is ""displayed""","Then I see side navigation bar is ""displayed""",""
"passed","Wed Jul 21 01:10:00 BST 2021","Wed Jul 21 01:10:08 BST 2021","8018","","Campaign page menu bar and menu items items: Validate Navigation Side bar show hide","","Campaign page menu bar and menu items items: Validate Navigation Side bar show hide","Then I see side navigation bar is ""displayed""","Then I see side navigation bar is ""displayed""",""
